Akronim,Kepanjangan
A.L.,antara lain
A.N.,atas nama
A.S.,alaihi salam
AA,"""""1 Asia Afrika, 2 Asisten Apoteker"
AAI,Asosiasi Advokat Indonesia
AAMAI,Asosiasi Ahli Manajemen Asuransi Indonesia
AAMII,Asosiasi Aparel Manufaktur Indonesia
ABAEI,Asosiasi Biro Administrasi Efek Indonesia
ABG,anak baru gede
ABI,Asosiasi Bakery Indonesia
ABKI,Asosiasi Bank Kustodian Indonesia
ABMI,Asosiasi Budidaya Mutiara Indonesia
ABNON,abang dan none
ABRI,Angkatan Bersenjata Republik Indonesia
ABS,Asal Bapak Senang
ABT,Anggaran Belanja Tahunan
ACI,Aku Cinta Indonesia
AD,"""""1 Angkatan Darat, 2 Anno Domini, 3 Anggaran Dasar"
ADM.,administrasi
ADPEL,administrasi pelabuhan
ADEI,Asosiasi Digital Entrepeneur Indonesia
ADPI,Asosiasi Dana Pensiun Indonesia
AEIHI,Asosiasi Eksportir Ikan Hias Indonesia
AEKI,Asosiasi Eksportir Kopi Indonesia
AEMJI,Asosiasi Eksportir Minyak Jelantah Indonesia
AFI,Asosiasi Franchise Indonesia
AGI,Asosiasi Gula Indonesia
AGRI,Asosiasi Gula Rafinasi Indonesia
AIGI,Asosiasi Industri Glukosa Indonesia
AIP,Akademi Ilmu Pelayaran
AIPDA,Ajun Inspektur Polisi Dua
AIPI,"""""1 Akademi Ilmu Pengetahuan Indonesia, 2 Asosiasi Ilmu Politik Indonesia"
AIPTU,Ajun Inspektur Polisi Satu
AIS,Akademi Ilmu Statistika
AISI,Asosiasi Independen Surveyor Indonesia
AJI,Aliansi Jurnalis Independen
AK,"""""1 angka kredit, 2 Avtomat Kalashnikov"
AK3L,Asosiasi Keselamatan Kesehatan Kerja dan Lingkungan)
AKABRI/AKABRI,Akademi Angkatan Bersenjata Republik Indonesia
AKAD,antarkerja antardaerah
AKAINDO,Asosiasi Kontraktor Air Indonesia
AKDAI,Asosiasi Kimia Dasar Anorganik Indonesia
AKHI,Asosiasi Konsultan Hukum Indonesia
AKI,Asosiasi Kontraktor Indonesia
AKINDO,Akademi Komunikasi Indonesia
AKLI,Asosiasi Kontraktor Listrik Indonesia
AKMIL,Akademi Militer
AKPER,Akademi Perawat
AKPI,Asosiasi Kurator dan Pengurus Indonesia
AKPOL,Akademi Polisi
AKUBBI,Asosiasi Industri Ketel Uap dan Bejana Bertekanan Indonesia
AL,Angkatan Laut
ALI,Asosiasi Logistik Indonesia
ALKI,Alur Laut Kepulauan Indonesia
ALMI,Asosiasi Logam Mulia Indonesia
ALRI,Angkatan Laut Republik Indonesia
ALSUT,Alam Sutera
ALUTISTA,Alat Utama Sistem Senjata
ALUTSISTA,alat utama sistem pertahanan
AMA,Asosiasi Manajemen Indonesia
AMAN,Aliansi Masyarakat Adat Nusantara
AMD,1. ABRI Masuk Desa 2 Advanced Micro Devices
AMDAL,analisis mengenai dampak lingkungan
AMF,Ahli Madia Farmasi
AMI,Akademi Musik Indonesia
AMII,Angkatan Muda Islam Indonesia
AMN,Akademi Militer Nasional
AMPERA,Amanat Penderitaan Rakyat
AMPI,Angkatan Muda Pembaharuan Indonesia
AMPUH,Asosiasi Muslim Pengusaha Umrah dan Haji
AMS,1 Angkatan Muda Siliwangi 2 Algemene Middelbare School
ANGKOT,angkutan kota
ANJAL,anak jalanan
ANPI,Asosiasi Niaga Pupuk Indonesia
ANTV,Andalas Televisi
AOHI,Asosiasi Obat Hewan Indonesia
AP,"""""1 Ahli Peneliti, 2 Associated Press"
APBD,Anggaran Pendapatan dan Belanja Daerah
APBI,Asosiasi Perusahaan Ban Indonesia
APBLSI,Asosiasi Pemotongan Baja Lembaran Seluruh Indonesia
APBMI,Asosiasi Perusahaan Bongkar Muat Indonesia
APBN,Anggaran Pendapatan dan Belanja Negara
APBTI,Asosiasi Produsen Benang Tekstur Indonesia
APCI,Asosiasi Pengusaha Coldstorage Indonesia
APDESI,Asosiasi Perangkat Desa Seluruh Indonesia
APEGTI,Asosiasi Penyalur Gula dan Tebu Indonesia
APEPI,Asosiasi Pengusaha Emas dan Permata Indonesia
APFI,Asosiasi Pengusaha Furnitur Indonesia
APGAI,Asosiasi Pemasok Garmen dan Aksesoris Indonesia
APGI,Asosiasi Produsen Gas-Gas Industri Indonesia
APHI,Asosiasi Pengusaha Hutan Indonesia
API,"""""1 Akademi Penerbangan Indonesia, 2 Asosiasi Pertekstilan Indonesia, 3 Asosiasi Perminyakan Indonesia"
APIEI,Asosiasi Perusahaan Industri Elektronik dan Alat-Alat Listrik Rumah Tangga Indonesia
APINDO,Asosiasi Pengusaha Indonesia
APITINDO,Asosiasi Perusahaan Inspeksi Teknik Indonesia
APJATI,Asosiasi Perusahaan Jasa Tenaga Kerja Indonesia
APJETI,Asosiasi Pengumpul Minyak Jelantah untuk Energi Baru Terbarukan Indonesia
APJII,Asosiasi Penyelenggara Jasa Internet Indonesia
APK,Alat peraga kampanye
APKABEL,Asosiasi Pabrik Kabel Listrik Indonesia
APKASI,"""""1 Asosiasi Pemerintah Kabupaten/Kota Seluruh Indonesia, 2 Asosiasi Produsen Karbon Aktif Seluruh Indonesia"
APKI,"""""1 Asosiasi Pulp dan Kertas Indonesia, 2 Asosiasi Penyamakan Kulit Indonesia, 3 Asosiasi Produsen Karung Indonesia 4 Asosiasi Pengawetan Kayu Indonesia"
APKINDO,Asosiasi Panel Kayu Indonesia
APKLINDO,Asosiasi Perusahaan Klining Indonesia
APKOMINDO,Asosiasi Pengusaha Komputer Indonesia
APLI,Asosiasi Penjualan Langsung Indonesia
APM,"""""1 Ahli Peneliti Madya, 2 Advanced Power Management"
APMI,"""""1 Asosiasi Pengeboran Minyak dan Gas Bumi Indonesia, 2 Asosiasi Pengusaha Mainan Indonesia"
