word,kata_keterangan,preposisi,kata_kerja,interjeksi,kata_ganti,konjungsi,kata_sifat,kata_benda,kata_bilangan
a-,0,0,0,0,0,0,0,0,0
ab,0,0,0,0,0,0,0,1,0
ab-,0,0,0,0,0,0,0,0,0
aba,0,0,0,0,0,0,0,1,0
aba-aba,0,0,0,0,0,0,0,1,0
abad,0,0,0,0,0,0,0,1,0
abadi,0,0,0,0,0,0,1,0,0
mengabadi,0,0,1,0,0,0,0,0,0
mengabadikan,0,0,1,0,0,0,0,0,0
keabadian,0,0,0,0,0,0,0,1,0
abadiah,0,0,0,0,0,0,0,0,0
abah,0,0,0,0,0,0,0,1,0
mengabahkan,0,0,1,0,0,0,0,0,0
abah-abah,0,0,0,0,0,0,0,1,0
abai,0,0,0,0,0,0,1,0,0
terabaikan,0,0,1,0,0,0,0,0,0
pengabai,0,0,0,0,0,0,0,1,0
pengabaian,0,0,0,0,0,0,0,1,0
abaimana,0,0,0,0,0,0,0,0,0
abaka,0,0,0,0,0,0,0,1,0
abaktinal,0,0,0,0,0,0,0,0,0
abakus,0,0,0,0,0,0,0,1,0
aban,0,0,0,0,0,0,0,0,0
abang,0,0,0,0,0,0,0,1,0
abangan,0,0,0,0,0,0,0,0,0
abangga,0,0,0,0,0,0,0,0,0
abar,0,0,0,0,0,0,0,1,0
abar-abar,0,0,0,0,0,0,0,1,0
mengabar,0,0,1,0,0,0,0,0,0
abaran,0,0,0,0,0,0,0,0,0
abatoar,0,0,0,0,0,0,0,1,0
abau,0,0,0,0,0,0,0,1,0
abdi,0,0,0,0,0,0,0,1,0
mengabdikan,0,0,1,0,0,0,0,0,0
pengabdian,0,0,0,0,0,0,0,1,0
abdikasi,0,0,0,0,0,0,0,1,0
abdomen,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,1,0,0
abdu,0,0,0,0,0,0,0,0,0
abduksi,0,0,0,0,0,0,0,1,0
abduktor,0,0,0,0,0,0,0,0,0
pengabenan,0,0,0,0,0,0,0,1,0
aberasi,0,0,0,0,0,0,0,1,0
cahaya,0,0,0,0,0,0,0,0,0
kromosom,0,0,0,0,0,0,0,0,0
abet,0,0,0,0,0,0,0,0,0
mengabet,0,0,1,0,0,0,0,0,0
abian,0,0,0,0,0,0,0,1,0
abid,0,0,0,0,0,0,0,0,0
abidin,0,0,0,0,0,0,0,0,0
abilah,0,0,0,0,0,0,0,0,0
abing,0,0,0,0,0,0,0,1,0
abis,0,0,0,0,0,0,0,0,0
abisal,0,0,0,0,0,0,0,1,0
abjad,0,0,0,0,0,0,0,1,0
mengabjadkan,0,0,1,0,0,0,0,0,0
pengabjadan,0,0,0,0,0,0,0,1,0
abjadiah,0,0,0,0,0,0,1,0,0
ablasi,0,0,0,0,0,0,0,1,0
ablaut,0,0,0,0,0,0,0,0,0
abnormal,0,0,0,0,0,0,1,0,0
keabnormalan,0,0,0,0,0,0,0,1,0
abnormalitas,0,0,0,0,0,0,0,1,0
abnus,0,0,0,0,0,0,0,0,0
aboi,0,0,0,0,0,0,0,1,0
abolisi,0,0,0,0,0,0,0,0,0
abon,0,0,0,0,0,0,0,1,0
abong-abong,0,0,0,0,0,0,0,0,0
aborsi,0,0,0,0,0,0,0,1,0
abortif,0,0,0,0,0,0,0,0,0
abortiva,0,0,0,0,0,0,0,1,0
abortus,0,0,0,0,0,0,0,1,0
inkomplet,0,0,0,0,0,0,0,0,0
komplet,0,0,0,0,0,0,0,0,0
abrak,0,0,0,0,0,0,0,0,0
abrakadabra,0,0,0,0,0,0,0,1,0
abrar,0,0,0,0,0,0,0,0,0
abrasi,0,0,0,0,0,0,0,1,0
abrikos,0,0,0,0,0,0,0,1,0
abrosfer,0,0,0,0,0,0,0,1,0
abrupsi,0,0,0,0,0,0,0,0,0
absah,0,0,0,0,0,0,1,0,0
mengabsahkan,0,0,1,0,0,0,0,0,0
pengabsahan,0,0,0,0,0,0,0,1,0
keabsahan,0,0,0,0,0,0,0,1,0
absis,0,0,0,0,0,0,0,0,0
absolusi,0,0,0,0,0,0,0,0,0
absolut,0,0,0,0,0,0,1,0,0
absolutisme,0,0,0,0,0,0,0,1,0
absonan,0,0,0,0,0,0,1,0,0
absorpsi,0,0,0,0,0,0,0,1,0
aktif,0,0,0,0,0,0,0,0,0
pasif,0,0,0,0,0,0,0,0,0
mengabsorpsi,0,0,1,0,0,0,0,0,0
absorptif,0,0,0,0,0,0,1,0,0
keabstainan,0,0,0,0,0,0,0,1,0
abstrak,0,0,0,0,0,0,1,0,0
mengabstrakkan,0,0,1,0,0,0,0,0,0
abstraksi,0,0,0,0,0,0,0,1,0
absurd,0,0,0,0,0,0,1,0,0
absurdisme,0,0,0,0,0,0,0,1,0
abtar,0,0,0,0,0,0,1,0,0
adakan,0,0,0,0,0,0,0,0,0
adaks,0,0,0,0,0,0,0,1,0
adaktil,0,0,0,0,0,0,1,0,0
abu,0,0,0,0,0,0,0,1,0
terbang,0,0,0,0,0,0,0,0,0
mengabui,0,0,1,0,0,0,0,0,0
perabuan,0,0,0,0,0,0,0,1,0
pengabuan,0,0,0,0,0,0,0,1,0
keabu-abuan,0,0,0,0,0,0,1,0,0
abu-abu,0,0,0,0,0,0,0,1,0
abuan,0,0,0,0,0,0,0,1,0
abuh,0,0,0,0,0,0,0,0,0
abuhan,0,0,0,0,0,0,1,0,0
abuh-abuhan,0,0,0,0,0,0,1,0,0
abuk,0,0,0,0,0,0,0,1,0
mengabuk,0,0,1,0,0,0,0,0,0
abuk-abuk,0,0,0,0,0,0,0,1,0
abul,0,0,1,0,0,0,0,0,0
abulhayat,0,0,0,0,0,0,0,1,0
abulia,0,0,0,0,0,0,0,0,0
abun-abun,0,0,0,0,0,0,0,0,0
abur,0,0,0,0,0,0,1,0,0
mengabur,0,0,1,0,0,0,0,0,0
pengabur,0,0,0,0,0,0,0,1,0
abus,0,0,0,0,0,0,0,1,0
acah,0,0,1,0,0,0,0,0,0
beracah-acah,0,0,1,0,0,0,0,0,0
mengacah,0,0,1,0,0,0,0,0,0
acak-acak,1,0,0,0,0,0,0,0,0
mengacak,0,0,1,0,0,0,0,0,0
acak-acakan,0,0,0,0,0,0,1,0,0
acak,0,0,0,0,0,0,0,0,0
acala,0,0,0,0,0,0,0,0,0
acan,0,0,0,0,0,0,0,0,0
mengacan,0,0,1,0,0,0,0,0,0
acang,0,0,0,0,0,0,0,0,0
acang-acang,0,0,0,0,0,0,0,1,0
adam,0,0,0,0,0,0,0,0,0
acap,0,0,0,0,0,0,1,0,0
acar,0,0,0,0,0,0,0,1,0
acara,0,0,0,0,0,0,0,1,0
mengacarakan,0,0,1,0,0,0,0,0,0
acaram,0,0,0,0,0,0,0,1,0
acat,0,0,0,0,0,0,0,0,0
acatan,0,0,0,0,0,0,0,1,0
acawi,0,0,0,0,0,0,0,0,0
acerang,0,0,0,0,0,0,0,0,0
aci,0,0,0,0,0,0,1,0,0
mengacikan,0,0,1,0,0,0,0,0,0
aci-aci,0,0,0,0,0,0,0,1,0
mengaci-acikan,0,0,1,0,0,0,0,0,0
aci-acian,0,0,0,0,0,0,0,1,0
aci-acinya,1,0,0,0,0,0,0,0,0
acik,0,0,0,0,0,0,0,0,0
aco-acoan,0,0,0,0,0,0,1,0,0
acu,0,0,1,0,0,0,0,0,0
mengacu,0,0,1,0,0,0,0,0,0
acuan,0,0,0,0,0,0,0,1,0
cetak,0,0,0,0,0,0,0,0,0
adalah,0,0,1,0,0,0,0,0,0
adalat,0,0,0,0,0,0,0,0,0
mengacukan,0,0,1,0,0,0,0,0,0
acuh,0,0,1,0,0,0,0,0,0
acuhan,0,0,0,0,0,0,0,1,0
acum,0,0,0,0,0,0,0,0,0
mengacum,0,0,1,0,0,0,0,0,0
acung,0,0,1,0,0,0,0,0,0
mengacung,0,0,1,0,0,0,0,0,0
mengacungkan,0,0,1,0,0,0,0,0,0
ada,0,0,1,0,0,0,0,0,0
berada,0,0,1,0,0,0,0,0,0
keberadaan,0,0,0,0,0,0,0,1,0
mengada-ada,0,0,1,0,0,0,0,0,0
pengadaan,0,0,0,0,0,0,0,1,0
